# x, y, theta, v_l, v_r
16.52, 659.37, 1.420, 99.90, 99.90
16.67, 660.36, 1.420, 99.90, 99.90
16.82, 661.35, 1.420, 99.90, 99.90
16.97, 662.33, 1.420, 99.90, 99.90
17.12, 663.32, 1.420, 99.90, 99.90
17.27, 664.31, 1.420, 99.90, 99.90
17.42, 665.30, 1.420, 99.90, 99.90
17.57, 666.28, 1.420, 99.90, 99.90
17.72, 667.27, 1.420, 99.90, 99.90
17.87, 668.26, 1.420, 99.90, 99.90
18.02, 669.25, 1.420, 99.90, 99.90
18.17, 670.24, 1.420, 99.90, 99.90
18.32, 671.22, 1.420, 99.90, 99.90
18.47, 672.21, 1.420, 99.90, 99.90
18.62, 673.20, 1.420, 99.90, 99.90
18.77, 674.19, 1.420, 99.90, 99.90
18.92, 675.17, 1.420, 99.90, 99.90
19.07, 676.16, 1.420, 99.90, 99.90
19.22, 677.15, 1.420, 99.90, 99.90
19.37, 678.14, 1.420, 99.90, 99.90
19.52, 679.12, 1.420, 99.90, 99.90
19.67, 680.11, 1.420, 99.90, 99.90
19.82, 681.10, 1.420, 99.90, 99.90
19.97, 682.09, 1.420, 99.90, 99.90
20.12, 683.08, 1.420, 99.90, 99.90
20.27, 684.06, 1.420, 99.90, 99.90
20.42, 685.05, 1.420, 99.90, 99.90
20.57, 686.04, 1.420, 99.90, 99.90
20.72, 687.03, 1.420, 99.90, 99.90
20.64, 687.72, 1.931, 48.88, 99.90
20.29, 688.66, 1.931, 99.90, 99.90
19.94, 689.59, 1.931, 99.90, 99.90
19.59, 690.53, 1.931, 99.90, 99.90
19.23, 691.46, 1.931, 99.90, 99.90
18.88, 692.40, 1.931, 99.90, 99.90
18.53, 693.33, 1.931, 99.90, 99.90
18.18, 694.27, 1.931, 99.90, 99.90
17.83, 695.20, 1.931, 99.90, 99.90
17.48, 696.14, 1.931, 99.90, 99.90
17.12, 697.07, 1.931, 99.90, 99.90
16.77, 698.01, 1.931, 99.90, 99.90
16.42, 698.94, 1.931, 99.90, 99.90
16.07, 699.88, 1.931, 99.90, 99.90
15.72, 700.81, 1.931, 99.90, 99.90
15.37, 701.75, 1.931, 99.90, 99.90
15.01, 702.68, 1.931, 99.90, 99.90
14.66, 703.62, 1.931, 99.90, 99.90
14.31, 704.55, 1.931, 99.90, 99.90
13.96, 705.49, 1.931, 99.90, 99.90
13.61, 706.42, 1.931, 99.90, 99.90
13.26, 707.36, 1.931, 99.90, 99.90
12.90, 708.29, 1.931, 99.90, 99.90
12.55, 709.23, 1.931, 99.90, 99.90
12.20, 710.16, 1.931, 99.90, 99.90
11.85, 711.10, 1.931, 99.90, 99.90
11.50, 712.03, 1.931, 99.90, 99.90
11.42, 712.81, 1.430, 99.90, 49.85
11.56, 713.80, 1.430, 99.90, 99.90
11.70, 714.79, 1.430, 99.90, 99.90
11.84, 715.78, 1.430, 99.90, 99.90
11.98, 716.76, 1.430, 99.90, 99.90
12.12, 717.75, 1.430, 99.90, 99.90
12.26, 718.74, 1.430, 99.90, 99.90
12.40, 719.73, 1.430, 99.90, 99.90
12.54, 720.72, 1.430, 99.90, 99.90
12.68, 721.71, 1.430, 99.90, 99.90
12.82, 722.70, 1.430, 99.90, 99.90
12.96, 723.69, 1.430, 99.90, 99.90
13.10, 724.68, 1.430, 99.90, 99.90
13.24, 725.67, 1.430, 99.90, 99.90
13.38, 726.66, 1.430, 99.90, 99.90
13.52, 727.65, 1.430, 99.90, 99.90
13.66, 728.63, 1.430, 99.90, 99.90
13.80, 729.62, 1.430, 99.90, 99.90
13.94, 730.61, 1.430, 99.90, 99.90
14.08, 731.60, 1.430, 99.90, 99.90
14.22, 732.59, 1.430, 99.90, 99.90
14.36, 733.58, 1.430, 99.90, 99.90
14.50, 734.57, 1.430, 99.90, 99.90
14.64, 735.56, 1.430, 99.90, 99.90
14.78, 736.55, 1.430, 99.90, 99.90
14.92, 737.54, 1.430, 99.90, 99.90
15.06, 738.53, 1.430, 99.90, 99.90
15.20, 739.51, 1.430, 99.90, 99.90
15.34, 740.50, 1.430, 99.90, 99.90
15.48, 741.49, 1.430, 99.90, 99.90
15.62, 742.48, 1.430, 99.90, 99.90
15.76, 743.47, 1.430, 99.90, 99.90
15.90, 744.46, 1.430, 99.90, 99.90
16.04, 745.45, 1.430, 99.90, 99.90
16.18, 746.44, 1.430, 99.90, 99.90
16.32, 747.43, 1.430, 99.90, 99.90
16.46, 748.42, 1.430, 99.90, 99.90
16.60, 749.41, 1.430, 99.90, 99.90
16.74, 750.40, 1.430, 99.90, 99.90
16.88, 751.38, 1.430, 99.90, 99.90
17.02, 752.37, 1.430, 99.90, 99.90
17.16, 753.36, 1.430, 99.90, 99.90
17.30, 754.35, 1.430, 99.90, 99.90
17.44, 755.34, 1.430, 99.90, 99.90
17.58, 756.33, 1.430, 99.90, 99.90
17.72, 757.32, 1.430, 99.90, 99.90
17.86, 758.31, 1.430, 99.90, 99.90
18.00, 759.30, 1.430, 99.90, 99.90
18.14, 760.29, 1.430, 99.90, 99.90
18.28, 761.28, 1.430, 99.90, 99.90
18.42, 762.27, 1.430, 99.90, 99.90
18.56, 763.25, 1.430, 99.90, 99.90
18.70, 764.24, 1.430, 99.90, 99.90
18.84, 765.23, 1.430, 99.90, 99.90
18.98, 766.22, 1.430, 99.90, 99.90
19.12, 767.21, 1.430, 99.90, 99.90
19.27, 768.20, 1.430, 99.90, 99.90
19.41, 769.19, 1.430, 99.90, 99.90
19.55, 770.18, 1.430, 99.90, 99.90
19.69, 771.17, 1.430, 99.90, 99.90
19.83, 772.16, 1.430, 99.90, 99.90
19.97, 773.15, 1.430, 99.90, 99.90
20.11, 774.13, 1.430, 99.90, 99.90
20.25, 775.12, 1.430, 99.90, 99.90
20.39, 776.11, 1.430, 99.90, 99.90
20.53, 777.10, 1.430, 99.90, 99.90
20.44, 777.79, 1.940, 48.88, 99.90
20.08, 778.72, 1.940, 99.90, 99.90
19.65, 779.12, 2.441, 49.85, 99.90
18.89, 779.76, 2.441, 99.90, 99.90
18.12, 780.41, 2.441, 99.90, 99.90
17.70, 781.22, 1.931, 99.90, 48.88
17.35, 782.15, 1.931, 99.90, 99.90
17.00, 783.09, 1.931, 99.90, 99.90
16.64, 784.02, 1.931, 99.90, 99.90
16.29, 784.96, 1.931, 99.90, 99.90
15.94, 785.89, 1.931, 99.90, 99.90
15.59, 786.83, 1.931, 99.90, 99.90
15.24, 787.76, 1.931, 99.90, 99.90
14.89, 788.70, 1.931, 99.90, 99.90
14.53, 789.63, 1.931, 99.90, 99.90
14.18, 790.57, 1.931, 99.90, 99.90
